batch,method,frames,unique_teps_per_frame,scoring_calls_per_frame,bound_checks_per_frame,pdb_lookups_per_frame,compact_lookups_per_frame,dual_queries_per_frame,dual_dp_transitions_per_frame,incumbent_syncs_per_frame,candidate_span_proxy,tep_overhead_vs_batch1_percent,word_mismatches,metric_mismatches,tie_mismatches
1,normal_cap_pdb,1000,354339.465,359253.583,38308.098,422468.943,0.0,0.0,0.0,359253.583,359257.583,0.0,0,0,0
1,compact_two_block_cap_pdb,1000,286642.377,291145.797,37847.711,0.0,2933046.052,0.0,0.0,291145.797,291149.797,0.0,0,0,0
1,dual_two_block_cap_pdb,1000,119889.055,122419.347,37058.821,0.0,2926340.662,30297.998,2179566275.328,122419.347,122423.347,0.0,0,0,0
4096,normal_cap_pdb,1000,354436.866,359351.052,38309.324,422511.596,0.0,0.0,0.0,86.638,90.638,0.027488047372870028,0,0,0
4096,compact_two_block_cap_pdb,1000,286815.344,291318.811,37849.176,0.0,2933108.308,0.0,0.0,70.028,74.028,0.060342438480409655,0,0,0
4096,dual_two_block_cap_pdb,1000,120231.949,122762.403,37065.315,0.0,2926548.603,30311.315,145707721.666,28.877,32.876999999999995,0.28600942763290504,0,0,0
