frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
31,3144942646360382232,4933943542690971215,88851,89926,40527,2781951,24918608,28761,373893,0,0,0,0,373893,25150931,5755264,58647281,11471044,13447564,0,0,0,0,0
32,3934959207445957992,16035491631744627796,45714,46789,36939,2802203,25489789,14522,188786,0,0,0,0,188786,12741430,2994496,44064857,5734755,19755034,0,0,0,0,0
33,2939905219594488232,17138846338471929075,2109,2678,16268,563501,2156804,174,2262,0,0,0,0,2262,154934,171392,3062899,30563,2126241,0,0,0,0,0
34,7115477866112852511,508760954962106095,41215,42288,40035,2940530,32646536,14683,190879,0,0,0,0,190879,12917125,2706432,51250658,4905030,27741506,0,0,0,0,0
35,17804540254511754082,17891001674654000382,26198,27262,27706,2607177,28005575,3714,48282,0,0,0,0,48282,3304678,1744768,35689904,653848,27351727,0,0,0,0,0
36,14329286675604069733,2549183635429215712,85261,86336,41048,2828300,25140960,30120,391560,0,0,0,0,391560,26339404,5525504,59875216,11911653,13228215,1092,0,0,0,0
37,3512355457972779656,54641955697084343,248942,250017,41676,2658904,26188396,59084,768092,0,0,0,0,768092,51532260,16001088,96422324,21341190,4847206,0,0,0,0,0
38,15383367769352008159,4043399927758650155,156096,157171,41724,2695440,23696829,42590,553670,0,0,0,0,553670,37182288,10058944,73675225,16170115,7526714,0,0,0,0,0
39,6351360789494488775,14239871099138461167,211301,212376,41979,2743851,26805272,57060,741780,0,0,0,0,741780,49782226,13592064,92965392,20594171,6211101,0,0,0,0,0
40,9272416292419551771,10011039597865590263,160489,161564,39056,2720751,25386309,34680,450840,0,0,0,0,450840,30287452,10340096,68773664,13636935,11749374,0,0,0,0,0
41,9425662161293817965,3718056516881782185,99749,100824,41522,2753719,25031604,38853,505089,0,0,0,0,505089,33938723,6452736,68218304,14531725,10499879,0,0,0,0,0
42,3205280276530037954,14257155582419171572,209187,210262,40836,2696072,25184666,50465,656045,0,0,0,0,656045,44025527,13456768,85403869,19141551,6043115,0,0,0,0,0
43,8247375632809095502,9280524818218970153,251647,252722,42003,2691125,26233259,56651,736463,0,0,0,0,736463,49421047,16174208,94561642,20542223,5690308,728,0,0,0,0
44,296574145639910115,3579242053889772485,227527,228602,42068,2722950,26591019,59343,771459,0,0,0,0,771459,51766351,14630528,95752916,21060689,5529602,728,0,0,0,0
45,8902939286485989100,4154157133375683666,164289,165364,42024,2768501,27712646,51486,669318,0,0,0,0,669318,44942118,10583296,86048585,18524571,9188075,0,0,0,0,0
46,456937915389356564,16185041997014406329,87873,88948,40661,2727918,24101467,28153,365989,0,0,0,0,365989,24619361,5692672,57182079,11075779,13017108,8580,0,0,0,0
47,14068545361310646309,4639816543041674363,256941,258016,42389,2741546,26737802,62084,807092,0,0,0,0,807092,54152514,16513024,100187275,21833279,4904523,0,0,0,0,0
48,13900954627316334852,4195680371056188860,30858,31920,31930,2855248,30432389,7931,103103,0,0,0,0,103103,6994559,2042880,42357006,2701140,27731249,0,0,0,0,0
49,2107424263269548503,11423161209362821136,7679,8743,10549,1127185,11387493,1235,16055,0,0,0,0,16055,1093235,559552,14178014,366314,11021179,0,0,0,0,0
50,8168283661969964125,9931039747041076422,61883,62958,40836,2976918,26615446,25888,336544,0,0,0,0,336544,22659598,4029312,56322110,9992697,16622749,0,0,0,0,0
51,14267482168518956616,13113212589325100185,244401,245476,42199,2738490,26113789,59176,769288,0,0,0,0,769288,51618138,15710464,96223080,21029619,5084170,0,0,0,0,0
52,6311305015811095954,6427547232503983676,156729,157804,41225,2716851,26178659,44150,573950,0,0,0,0,573950,38546924,10099456,77583115,16407222,9771437,0,0,0,0,0
53,6453722038223445224,18320083337798526167,20397,21460,22021,2222250,23803143,3730,48490,0,0,0,0,48490,3298256,1373440,30719110,1155206,22647937,0,0,0,0,0
54,14215514807094581899,5826899960588213343,127190,128265,41687,2716233,26098813,40915,531895,0,0,0,0,531895,35737507,8208960,72803200,15332135,10766223,455,0,0,0,0
55,3989771169862953169,18000163171180986405,33741,34799,34291,2829006,30199910,7735,100555,0,0,0,0,100555,6832189,2227136,42122532,2335190,27864720,0,0,0,0,0
56,11916016868319620830,3434736868211279916,93360,94435,41413,2807666,22798308,32774,426062,0,0,0,0,426062,28641392,6043840,60332619,12673128,10124088,1092,0,0,0,0
57,4640130541490228991,9900884035484805568,138838,139913,41267,2747453,24929346,41273,536549,0,0,0,0,536549,36039107,8954432,72711605,15771626,9157720,0,0,0,0,0
58,1304427793644317805,15977181257162056870,237678,238753,40899,2660722,27613274,57911,752843,0,0,0,0,752843,50514217,15280192,96109304,21108256,6505018,0,0,0,0,0
59,1112308405835387574,6630118966332650719,110489,111564,37787,2755800,29686722,23768,308984,0,0,0,0,308984,20801144,7140096,60421549,9013550,20673172,0,0,0,0,0
60,13116184056299994042,2954471994216558182,232779,233854,41993,2656102,27026441,57675,749775,0,0,0,0,749775,50319113,14966656,95010305,20527806,6495723,2912,0,0,0,0
61,5128382913954093173,17891395725310316608,14147,15211,16347,1707560,17637204,2228,28964,0,0,0,0,28964,1972464,973504,22307079,646815,16990389,0,0,0,0,0
62,149536194727853827,17641425227737243368,152580,153655,40207,2883019,29996655,33497,435461,0,0,0,0,435461,29280615,9833920,72034416,12193987,17802668,0,0,0,0,0
63,12785073334573540145,9719333807847662370,679121,906621,41826,2640940,26215202,58461,759993,0,0,0,0,759993,50992721,58023744,137914433,21083673,5127161,4368,0,0,0,0
64,14715283007751744236,8298298031652102469,29728,30793,30264,2688643,28000115,8724,113412,0,0,0,0,113412,7671768,1970752,40361542,3414554,24585561,0,0,0,0,0
65,11365951123784606704,17887036220830551262,292943,294018,42586,2631182,28478073,73394,954122,0,0,0,0,954122,63998480,18817152,113967473,24653629,3824444,0,0,0,0,0
66,6167689052082312052,13319927937967308141,158867,159942,41710,2671841,24856936,48176,626288,0,0,0,0,626288,42045536,10236288,79852311,17878861,6978075,0,0,0,0,0
67,1471876335903736649,16816578889670006011,64818,65893,40494,2825410,25926095,27561,358293,0,0,0,0,358293,24110567,4217152,57119718,10728419,15197676,0,0,0,0,0
68,16616906695035230134,5658483354103529566,86074,87149,40647,2844733,25218843,32018,416234,0,0,0,0,416234,27985698,5577536,61667457,12611547,12605151,2145,0,0,0,0
69,14774274864356891453,3644105131579224076,202885,203960,41479,2735266,26123474,50780,660140,0,0,0,0,660140,44311670,13053440,86265329,18747144,7376330,0,0,0,0,0
70,15893644149008283858,11402885097641880637,62475,63549,40150,2892120,25789829,23213,301769,0,0,0,0,301769,20324187,4067136,53113422,9273199,16516630,0,0,0,0,0
71,7865834665772639287,10652884563243312165,125116,126191,40815,2778403,25687818,35000,455000,0,0,0,0,455000,30582006,8076224,67165266,13507806,12180012,0,0,0,0,0
72,3982075187632817751,15468753295786042477,61373,62447,40755,2884203,24946818,24607,319891,0,0,0,0,319891,21540467,3996608,53408851,9487348,15458742,728,0,0,0,0
73,8257608772007586738,15060440126870394208,59122,60197,40724,2871606,26963768,22203,288639,0,0,0,0,288639,19453551,3852608,53182257,8451729,18512039,0,0,0,0,0
74,14977254156259156003,3920327573652986140,185064,186139,41144,2665954,24830130,46494,604422,0,0,0,0,604422,40575132,11912896,80025256,17547660,7282470,0,0,0,0,0
75,1589424333137760772,9471724134185867919,108654,109729,39337,2761691,21883329,28939,376207,0,0,0,0,376207,25283609,7022656,56990622,12040470,9842859,0,0,0,0,0
76,9774658082113931331,1081553943595848751,47599,48674,39055,2873705,26406549,18547,241111,0,0,0,0,241111,16258983,3115136,48693428,7315243,19091306,0,0,0,0,0
77,2885753135356757878,8144404064137559034,55029,56103,39520,2717588,25135526,18243,237159,0,0,0,0,237159,15993315,3590592,47476541,7156812,17978714,0,0,0,0,0
78,18228366790075488506,6042191629102714783,23805,24869,25256,2379866,25435943,4375,56875,0,0,0,0,56875,3868527,1591616,33301208,1311713,24124230,0,0,0,0,0
79,6705742309440081002,4560022252792973950,190393,191468,41697,2716514,26196612,50634,658242,0,0,0,0,658242,44188066,12253952,85396841,18654935,7541677,0,0,0,0,0
80,4183829670304994346,11429584479178068259,195158,196233,40587,2802911,24156054,43864,570232,0,0,0,0,570232,38281074,12558912,77839538,17233554,6922500,0,0,0,0,0
81,7971977087052089671,12943656896339611047,3310,4181,8189,665587,4841902,396,5148,0,0,0,0,5148,351390,267584,6134652,103181,4738721,0,0,0,0,0
82,14015440443514644708,15168746826461742152,154194,155269,40533,2756437,24487775,34883,453479,0,0,0,0,453479,30473781,9937216,67695742,13420576,11067199,0,0,0,0,0
83,14813477150930179670,10654782508927386569,75251,76326,40515,2783842,25667525,28253,367289,0,0,0,0,367289,24711401,4884864,58088147,11086712,14580813,0,0,0,0,0
84,277419965220824983,236082523621049125,10350,11415,12667,1338893,14399840,1696,22048,0,0,0,0,22048,1500044,730560,17982004,544479,13855361,0,0,0,0,0
85,11433493891647338668,7759285439589208922,58020,59095,39523,2904261,24955398,20506,266578,0,0,0,0,266578,17962672,3782080,49643934,8058843,16896555,0,0,0,0,0
86,3927747151045147985,14326285596270872888,109091,110166,40608,2757722,24505520,35805,465465,0,0,0,0,465465,31276063,7050624,65630537,13948688,10554687,2145,0,0,0,0
87,2490559828448180269,1274096174389150426,129482,130557,41478,2775279,25110826,44695,581035,0,0,0,0,581035,39018057,8355648,75301288,16640286,8469448,1092,0,0,0,0
88,12310597241526767626,6169451773211654535,214607,215682,42287,2653730,26931840,61184,795392,0,0,0,0,795392,53371838,13803648,96803343,21397753,5534087,0,0,0,0,0
89,4670254777196922682,8977123415404240798,248979,250054,42130,2651020,26269776,60431,785603,0,0,0,0,785603,52708825,16003456,97675207,21508955,4760821,0,0,0,0,0
90,15825785085970787932,11761380677485834089,149959,151034,38436,2738557,23754627,34613,449969,0,0,0,0,449969,30219241,9666176,66417037,14208571,9546056,0,0,0,0,0
91,6764912390002647435,3014557965378192313,19645,20708,21728,2103728,23298119,3160,41080,0,0,0,0,41080,2800460,1325312,29549347,829595,22468524,0,0,0,0,0
92,16983826796895888681,7536200890693945291,116653,117728,40692,2691576,22258561,30729,399477,0,0,0,0,399477,26853879,7534592,59379300,12321140,9936329,1092,0,0,0,0
93,8088651020318966618,2194267367720589618,271300,272375,42071,2714871,27610297,62896,817648,0,0,0,0,817648,54860624,17432000,102659863,22210188,5400109,0,0,0,0,0
