frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
36,14329286675604069733,2549183635429215712,85261,86336,41048,3149644,51876890,32705,425165,0,0,0,0,425165,28648269,5525504,89241355,12046203,34707816,5122871,0,0,0,0
37,3512355457972779656,54641955697084343,248942,250017,41676,3160434,61351420,62787,816231,0,0,0,0,816231,54855619,16001088,135410237,21367827,34857056,5126537,0,0,0,0
38,15383367769352008159,4043399927758650155,156096,157171,41724,3133891,56225559,45832,595816,0,0,0,0,595816,40087502,10058944,109547620,16237754,34862113,5125692,0,0,0,0
39,6351360789494488775,14239871099138461167,211301,212376,41979,3221222,60677734,60419,785447,0,0,0,0,785447,52796289,13592064,130329288,20623161,34925982,5128591,0,0,0,0
40,9272416292419551771,10011039597865590263,160489,161564,39056,3058011,52857870,37305,484965,0,0,0,0,484965,32634563,10340096,98929596,13769821,34053643,5034406,0,0,0,0
41,9425662161293817965,3718056516881782185,99749,100824,41522,3129371,54533232,41517,539721,0,0,0,0,539721,36326979,6452736,100483840,14586806,34823555,5122871,0,0,0,0
42,3205280276530037954,14257155582419171572,209187,210262,40836,3166134,58940466,53808,699504,0,0,0,0,699504,47024744,13456768,122628948,19179888,34658585,5101993,0,0,0,0
43,8247375632809095502,9280524818218970153,251647,252722,42003,3170428,60654243,60312,784056,0,0,0,0,784056,52703430,16174208,132744312,20597187,34930909,5126147,0,0,0,0
44,296574145639910115,3579242053889772485,227527,228602,42068,3215202,61169927,62971,818623,0,0,0,0,818623,55020901,14630528,134078626,21095425,34948095,5126407,0,0,0,0
45,8902939286485989100,4154157133375683666,164289,165364,42024,3177058,58638684,54391,707083,0,0,0,0,707083,47546525,10583296,119987587,18572840,34939697,5126147,0,0,0,0
46,456937915389356564,16185041997014406329,87873,88948,40661,3048316,50885120,30647,398411,0,0,0,0,398411,26849979,5692672,86516748,11187696,34579688,5117736,0,0,0,0
47,14068545361310646309,4639816543041674363,256941,258016,42389,3245305,62006386,65882,856466,0,0,0,0,856466,57560126,16513024,139367230,21867612,35010443,5128331,0,0,0,0
48,13900954627316334852,4195680371056188860,30877,31939,31948,2923631,38225460,8981,116753,0,0,0,0,116753,7921459,2044096,51146594,2974296,30644276,4606888,0,0,0,0
49,2107424263269548503,11423161209362821136,7679,8743,10549,1166241,14949532,1469,19097,0,0,0,0,19097,1302275,559552,17988149,429572,11713637,2806323,0,0,0,0
50,8168283661969964125,9931039747041076422,61883,62958,40836,3244316,49903451,28085,365105,0,0,0,0,365105,24620609,4029312,81838524,10139805,34637954,5125692,0,0,0,0
51,14267482168518956616,13113212589325100185,244401,245476,42199,3239194,61170278,62953,818389,0,0,0,0,818389,55006081,15710464,135168216,21071362,34972509,5126407,0,0,0,0
