frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
32,3934959207445957992,16035491631744627796,2021,3020,3944,747765,5015036,189,2457,668966,26651,642315,46105352,2457,174447,193280,52239824,0,0,5015036,0,0,0,0
33,2939905219594488232,17138846338471929075,1130,1265,14882,142941,442390,9,117,45980,713,45267,3171194,117,8307,80960,3860674,0,0,442390,0,0,0,0
34,7115477866112852511,508760954962106095,2026,3078,3998,748639,5097196,205,2665,689125,25646,663479,47498333,2665,189215,196992,53734373,0,0,5097196,0,0,0,0
35,17804540254511754082,17891001674654000382,1621,2660,3703,715324,4098445,126,1638,545635,8841,536794,37631133,1638,116298,170240,42735143,0,0,4098445,0,0,0,0
36,14329286675604069733,2549183635429215712,2169,3111,4028,761494,5121688,217,2821,704140,33964,670176,48517732,2821,200291,199104,54804337,0,0,5121688,0,0,0,0
37,3512355457972779656,54641955697084343,2235,3205,4084,769884,5125419,221,2873,712499,41065,671434,49080301,2873,203983,205120,55388791,0,0,5125419,0,0,0,0
38,15383367769352008159,4043399927758650155,2131,3120,4036,759055,5124964,220,2860,708615,37730,670885,48818975,2860,203060,199680,55109770,0,0,5124964,0,0,0,0
39,6351360789494488775,14239871099138461167,2176,3128,4043,772320,4965272,220,2860,710687,39831,670856,48957741,2860,203060,200192,55102628,0,0,4965272,0,0,0,0
40,9272416292419551771,10011039597865590263,2320,3250,4090,766646,4653376,181,2353,691660,36005,655655,47652530,2353,167063,208000,53451705,0,0,4653376,0,0,0,0
41,9425662161293817965,3718056516881782185,2083,3111,4028,760461,4936204,213,2769,707357,38256,669101,48731121,2769,196599,199104,54827517,0,0,4936204,0,0,0,0
42,3205280276530037954,14257155582419171572,2239,3132,4051,767775,4927741,202,2626,707285,40064,667221,48722537,2626,186446,200448,54808998,0,0,4927741,0,0,0,0
43,8247375632809095502,9280524818218970153,2263,3286,4148,770152,4820816,213,2769,711726,41929,669797,49025236,2769,196599,210304,55027255,0,0,4820816,0,0,0,0
44,296574145639910115,3579242053889772485,2341,3318,4138,785252,4925856,217,2821,715671,42430,673241,49296439,2821,200291,212352,55424328,0,0,4925856,0,0,0,0
45,8902939286485989100,4154157133375683666,2156,3200,4081,773355,5124964,220,2860,712612,39736,672876,49090756,2860,203060,204800,55401016,0,0,5124964,0,0,0,0
46,456937915389356564,16185041997014406329,2116,3150,4067,743522,4960540,208,2704,700487,34911,665576,48263781,2704,191984,201600,54365494,0,0,4960540,0,0,0,0
