variant,group_lanes,scorer_lanes,exact_score_latency_cycles,mean_cycles,p95_cycles,p99_cycles,raw_pair_signature_bytes,minimum_extra_ramb18
fused_w1,8,4,32,7464206.315,9857309.799999999,10229671.4,0,0
fused_w1w2,8,4,32,5960845.274,6489555.1,6535612.96,16128,8
specialized,8,4,64,15393437.871,26300647.9,29292440.8,0,0
fused_specialized,8,4,64,11960335.291,21094602.0,23863054.18,0,0
fused_w1,8,4,64,10537185.315,14929716.2,15649562.6,0,0
fused_w1w2,8,4,64,11247155.458,12246914.6,12326412.27,16128,8
specialized,13,4,1,4137826.226,5347624.05,5529837.43,0,0
fused_specialized,13,4,1,2315448.114,2745713.4499999997,2886935.61,0,0
fused_w1,13,4,1,2812575.675,3124865.6999999997,3147163.05,0,0
fused_w1w2,13,4,1,581873.016,636381.9,639389.73,16128,8
specialized,13,4,2,4277186.946,5628170.95,5843527.7,0,0
fused_specialized,13,4,2,2447245.824,2939842.55,3039843.86,0,0
fused_w1,13,4,2,2908606.142,3281309.1,3315174.88,0,0
fused_w1w2,13,4,2,747070.092,815769.05,820462.01,16128,8
specialized,13,4,4,4555908.376,6183846.85,6498113.569999999,0,0
fused_specialized,13,4,4,2710841.274,3451604.35,3641074.3499999996,0,0
fused_w1,13,4,4,3100667.086,3595046.3,3656126.77,0,0
fused_w1w2,13,4,4,1077464.218,1174887.3,1182195.26,16128,8
specialized,13,4,8,5113351.741,7314562.149999999,7810939.22,0,0
fused_specialized,13,4,8,3238032.65,4528177.699999999,4873993.71,0,0
fused_w1,13,4,8,3484789.461,4229516.0,4335130.58,0,0
fused_w1w2,13,4,8,1738252.991,1893284.25,1906576.52,16128,8
specialized,13,4,16,6228238.471,9566481.049999999,10411019.12,0,0
fused_specialized,13,4,16,4292415.402,6684299.5,7406647.359999999,0,0
fused_w1,13,4,16,4253034.211,5498993.4,5686187.2,0,0
fused_w1w2,13,4,16,3059830.537,3330856.25,3355337.26,16128,8
specialized,13,4,32,8458011.931,14119218.55,15645609.19,0,0
fused_specialized,13,4,32,6401180.906,10998428.25,12397738.2,0,0
fused_w1,13,4,32,5789523.711,8031090.699999999,8396132.799999999,0,0
fused_w1w2,13,4,32,5702985.629,6207886.75,6250763.3,16128,8
specialized,13,4,64,12917558.851,23141766.15,26032241.509999998,0,0
fused_specialized,13,4,64,10618711.914,19658687.7,22379859.96,0,0
fused_w1,13,4,64,8862502.711,13112527.549999999,13816024.0,0,0
fused_w1w2,13,4,64,10989295.813,11973032.2,12041560.34,16128,8
