mode,threads,frames_per_repeat,repeats,median_total_ns,p95_total_ns,median_candidate_ns,blocks_per_second,speedup_vs_baseline,candidates,flips,parity_metric_terms,parity_flip_terms,result
baseline,1,9,9,8365287,8490351,8337562,119.541625,1.000000,679121,0,0,0,pass
native_parity,1,9,9,7211322,7362892,7183417,138.670829,1.160021,679121,1358240,43463744,86927360,pass
pthread_2,2,9,9,2919613,3001156,2891201,342.511148,2.865204,679121,1358176,43463744,86923264,pass
pthread_4,4,9,9,1583677,1633204,1553976,631.441891,5.282193,679121,1358176,43463744,86923264,pass
pthread_8,8,9,9,972844,1061820,943708,1027.914033,8.598796,679121,1358176,43463744,86923264,pass
pthread_16,16,9,9,1033253,1202620,1004091,967.817175,8.096068,679121,1358176,43463744,86923264,pass
