mode,threads,frames_per_repeat,repeats,median_total_ns,p95_total_ns,median_candidate_ns,blocks_per_second,speedup_vs_baseline,candidates,flips,parity_metric_terms,parity_flip_terms,result
baseline,1,9,9,3931703,3969134,3895843,254.342711,1.000000,679121,0,0,0,pass
native_parity,1,9,9,5336405,5427952,5299718,187.392074,0.736770,679121,1358240,43463744,86927360,pass
pthread_2,2,9,9,1969350,2120602,1932729,507.781755,1.996447,679121,1358176,43463744,86923264,pass
pthread_4,4,9,9,1119305,1161678,1082004,893.411537,3.512629,679121,1358176,43463744,86923264,pass
pthread_8,8,9,9,748154,815608,711142,1336.623209,5.255205,679121,1358176,43463744,86923264,pass
pthread_16,16,9,9,843906,993367,807775,1184.966098,4.658935,679121,1358176,43463744,86923264,pass
